10135	10257	2
10135	10397	673
10135	10434	9
10135	10529	5
10135	10693	1
10135	10721	3
10135	10785	1
10135	10792	2
10135	10821	4
10135	10994	1
10135	11057	1468
10135	11193	1
10135	11278	3
10135	11298	1
10135	11433	865
10135	11618	75
10135	11697	159
10135	12197	3
10135	12264	714
10135	12365	1
10135	12478	3
10135	12953	9
10135	13204	295
10135	13230	2
10135	13296	1
10135	13930	1624
10135	14100	1163
10135	14112	88
10135	14122	2
10135	14307	3
10135	14574	1
10135	14711	1
10135	14761	98
10136	10279	1
10136	10423	2
10136	10590	1
10136	11298	1335
10136	11982	1
10136	12191	1
10136	13158	3
10136	14683	1
10140	10257	3
10140	10266	7
10140	10279	2
10140	10397	1848
10140	10423	193
10140	10590	1
10140	10599	8
10140	10693	42
10140	10713	12
10140	10721	39
10140	10800	66
10140	10821	670
10140	11042	11
10140	11057	1
10140	11066	2
10140	11085	9
10140	11109	2
10140	11197	35
10140	11259	2444
10140	11292	4661
10140	11298	3989
10140	11413	4
10140	11433	15
10140	11503	1
10140	11540	503
10140	11641	1
10140	11695	1
10140	11697	50
10140	11884	5
10140	11996	7
10140	12094	1
10140	12177	1
10140	12191	1128
10140	12264	505
10140	12266	1497
10140	12278	1
10140	12339	1
10140	12391	4
10140	12889	1814
10140	12892	1500
10140	12896	460
10140	12953	49
10140	12992	17
10140	13158	386
10140	13198	498
10140	13204	633
10140	13232	1020
10140	13256	2
10140	13296	5
10140	13342	41
10140	13487	647
10140	13495	20
10140	13502	1
10140	13796	667
10140	13851	31
10140	13871	12
10140	13891	70
10140	13930	1029
10140	14057	494
10140	14100	13
10140	14107	4545
10140	14122	14
10140	14492	11
10140	14570	10
10140	14588	4
10140	14635	9
10140	14674	18
10140	14679	824
10140	14683	235
10140	14698	6
10140	14730	2
10140	14747	689
10140	14771	268
10140	14831	54
10140	14869	1953
10140	14893	122
10140	14908	164
10140	15016	537
10140	15051	5
10140	15304	142
10140	15370	28
10140	15376	798
10140	16218	1
10141	10409	1
10141	11775	1
10141	13487	424
10146	10397	706
10146	13204	2
10146	13244	1
10146	13303	2
10146	14027	1
10146	14986	1
10146	15607	1
10154	10721	39
10154	12250	1
10154	14771	1
10155	10423	2
10155	11298	791
10155	11982	1
10155	12266	299
10155	12896	1
10157	10930	8
10157	12892	337
10157	13796	1
10157	14057	1
10157	14487	14
10157	14489	1
10157	14771	1055
10157	14893	198
10157	15023	2
10158	10397	689
10158	10721	250
10158	11697	782
10158	12892	1
10158	13204	484
10158	13577	288
10158	13930	102
10158	14027	278
10158	14635	383
10158	14843	18
10158	15304	272
10165	10299	17
10170	10299	515
10170	12173	1
10170	14919	1
10185	10397	1119
10185	10713	1
10185	10781	6
10185	11278	1
10185	11298	639
10185	11433	1
10185	11973	2
10185	12191	1
10185	12266	753
10185	12448	1
10185	12951	4
10185	13377	2
10185	13422	1
10185	13495	9
10185	14193	1
10185	14814	2
10185	15304	1
10208	10397	2594
10208	10599	1
10208	10868	8
